,img,msrp,model,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Recommended fuel,Overall height,Overall Length,Overall Width,Wheelbase
2008 Audi RS 4 - quattro Sedan,img.autobytel.com/2008/audi/rs-4/2-550-oemexteriorfront-47432.jpg,"66,910",2008 Audi RS 4,,,16.6,,,,Premium Unleaded,,,,"2,649mm (104.3"
2008 Audi RS 4 - quattro Cabriolet,img.autobytel.com/2008/audi/rs-4/2-550-oemexteriorfront-47443.jpg,"81,900",2008 Audi RS 4,,,16.6,,,,Premium Unleaded,,,,"2,649mm (104.3"
2007 Audi RS 4 - Base,img.autobytel.com/2007/audi/rs-4/2-550-oemexteriorview-41757.jpg,"66,000",2007 Audi RS 4,6,420,16.6,14,21,5,Premium Unleaded,55.7,180.7,76.1,104.3
2023 Audi S8 - 4.0T,img.autobytel.com/2023/audi/s8/2-550-oem-exterior-front1300-100587.jpg,"120,500",2023 Audi S8,8,563,21.7,15,23,5,Premium Unleaded,58.6,209.0,76.6,123.2
2022 Audi S8 - 4.0T,img.autobytel.com/2022/audi/s8/2-550-oem-exterior-front1300-100385.jpg,"116,900",2022 Audi S8,8,563,21.7,14,23,5,Premium Unleaded,58.6,209.0,76.6,123.2
2021 Audi S8 - 4.0T,img.autobytel.com/2021/audi/s8/2-550-oemexteriorfront1300-93901.JPG,"130,900",2021 Audi S8,8,563,21.7,13,22,5,Premium Unleaded,58.6,209.0,76.6,123.2
2020 Audi S8 - 4.0T,img.autobytel.com/2020/audi/s8/2-550-oemexteriorfront1300-93698.JPG,"129,500",2020 Audi S8,8,563,21.7,13,22,5,Premium Unleaded,58.6,209.0,76.6,123.1
2018 Audi S8 - 4.0T Plus,img.autobytel.com/2018/audi/s8/2-550-oemexteriorfront1300-83706.jpg,"115,900",2018 Audi S8,8,605,21.7,14,24,5,Premium Unleaded,57.4,202.6,76.7,117.9
2017 Audi S8 - 4.0T Plus,img.autobytel.com/2017/audi/s8/2-550-oemexteriorfront1300-80672.jpg,"115,900",2017 Audi S8,,,21.7,,,,Premium Unleaded,,,,"2,995mm (117.9"
2016 Audi S8 - 4.0T,img.autobytel.com/2016/audi/s8/2-550-oemexteriorfront1300-77057.jpg,"114,900",2016 Audi S8,,,21.7,,,,Premium Unleaded,,,,"2,995mm (117.9"
2016 Audi S8 - Plus,img.autobytel.com/2016/audi/s8/2-550-oemexteriorfront1300-79747.jpg,"114,900",2016 Audi S8,,,21.7,,,,Premium Unleaded,,,,"2,995mm (117.9"
2015 Audi S8 - 4.0T,img.autobytel.com/2015/audi/s8/2-550-oemexteriorfront1300-73797.jpg,"114,900",2015 Audi S8,8,520,21.7,17,27,5,Premium Unleaded,57.5,202.2,76.7,117.8
2014 Audi S8 - Base,img.autobytel.com/2014/audi/s8/3-550-060314%20audi%20s8%202014-71276.jpg,"112,500",2014 Audi S8,8,520,23.8,15,26,5,Premium Unleaded,57.5,202.2,76.7,117.8
2013 Audi S8 - Base,img.autobytel.com/2013/audi/s8/3-550-s8-68616.jpg,"110,000",2013 Audi S8,8,520,23.8,15,26,5,Premium Unleaded,57.5,202.2,76.7,117.8
2009 Audi S8 - Base,img.autobytel.com/2009/audi/s8/2-550-oemexteriorfront-49883.jpg,"96,200",2009 Audi S8,,,23.8,,,,Premium Unleaded,,,,"2,944mm (115.9"
2008 Audi S8 - Base,img.autobytel.com/2008/audi/s8/2-550-oemexteriorfront-45748.jpg,"93,300",2008 Audi S8,,,23.8,,,,Premium Unleaded,,,,"2,944mm (115.9"
2007 Audi S8 - Base,img.autobytel.com/2007/audi/s8/2-550-oemexteriorfront-43267.jpg,"92,000",2007 Audi S8,6,450,23.8,14,20,5,Premium Unleaded,56.1,199.3,74.7,115.9
2003 Audi S8 - Base,img.autobytel.com/2003/audi/s8/2-550-oemexteriorfront-26763.jpg,"72,500",2003 Audi S8,5,360,23.8,15,21,5,Premium Unleaded,55.8,198.2,79.0,113.4
2002 Audi S8 - Base,img.autobytel.com/2002/audi/s8/2-550-threequartersview-24180.jpg,"72,500",2002 Audi S8,,,23.8,,,,Premium Unleaded,,,,"2,880mm (113.4"
2001 Audi S8 - Base,img.autobytel.com/2001/audi/s8/2-550-oemexteriorview-56678.jpg,"72,500",2001 Audi S8,,,23.7,,,,Premium Unleaded,,,,"2,880mm (113.4"
2023 Audi e-tron GT - Premium Plus,img.autobytel.com/2023/audi/e-tron-gt/2-550-oem-exterior-front1300-100612.jpg,"104,900",2023 Audi e-tron GT,2,469,,81,83,5,Electric,55.6,196.4,77.3,114.1
2022 Audi e-tron GT - Premium Plus,img.autobytel.com/2022/audi/e-tron-gt/2-550-oem-exterior-front1300-97050.jpg,"102,400",2022 Audi e-tron GT,2,469,,81,83,5,Electric,55.6,196.4,77.3,114.1
2023 Audi RS 5 - quattro Coupe,img.autobytel.com/2023/audi/rs-5/2-550-oem-exterior-front1300-100604.jpg,"77,900",2023 Audi RS 5,8,444,15.3,18,26,4,Premium Unleaded,54.0,186.0,73.5,108.9
2023 Audi RS 5 - quattro Sportback,img.autobytel.com/2023/audi/rs-5/2-550-oem-exterior-front1300-100605.jpg,"78,200",2023 Audi RS 5,8,444,15.3,18,25,5,Premium Unleaded,55.1,188.3,73.5,111.3
2022 Audi RS 5 - quattro Coupe,img.autobytel.com/2022/audi/rs-5/2-550-oem-exterior-front1300-97759.jpg,"75,900",2022 Audi RS 5,8,444,15.3,18,25,4,Premium Unleaded,54.0,186.0,73.5,108.9
