,msrp,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Overall height,Overall Length,Overall Width,Wheelbase,Recommended fuel,img,model,year
2007 Audi RS 4 - Base,66000.0,6.0,420.0,16.6,14.0,21.0,5.0,55.7,180.7,76.1,104.3,2.0,img.autobytel.com/2007/audi/rs-4/2-550-oemexteriorview-41757.jpg,2007 Audi RS 4,2007
2023 Audi S8 - 4.0T,120500.0,8.0,563.0,21.7,15.0,23.0,5.0,58.6,209.0,76.6,123.2,2.0,img.autobytel.com/2023/audi/s8/2-550-oem-exterior-front1300-100587.jpg,2023 Audi S8,2023
2022 Audi S8 - 4.0T,116900.0,8.0,563.0,21.7,14.0,23.0,5.0,58.6,209.0,76.6,123.2,2.0,img.autobytel.com/2022/audi/s8/2-550-oem-exterior-front1300-100385.jpg,2022 Audi S8,2022
2021 Audi S8 - 4.0T,130900.0,8.0,563.0,21.7,13.0,22.0,5.0,58.6,209.0,76.6,123.2,2.0,img.autobytel.com/2021/audi/s8/2-550-oemexteriorfront1300-93901.JPG,2021 Audi S8,2021
2020 Audi S8 - 4.0T,129500.0,8.0,563.0,21.7,13.0,22.0,5.0,58.6,209.0,76.6,123.1,2.0,img.autobytel.com/2020/audi/s8/2-550-oemexteriorfront1300-93698.JPG,2020 Audi S8,2020
2018 Audi S8 - 4.0T Plus,115900.0,8.0,605.0,21.7,14.0,24.0,5.0,57.4,202.6,76.7,117.9,2.0,img.autobytel.com/2018/audi/s8/2-550-oemexteriorfront1300-83706.jpg,2018 Audi S8,2018
2015 Audi S8 - 4.0T,114900.0,8.0,520.0,21.7,17.0,27.0,5.0,57.5,202.2,76.7,117.8,2.0,img.autobytel.com/2015/audi/s8/2-550-oemexteriorfront1300-73797.jpg,2015 Audi S8,2015
2014 Audi S8 - Base,112500.0,8.0,520.0,23.8,15.0,26.0,5.0,57.5,202.2,76.7,117.8,2.0,img.autobytel.com/2014/audi/s8/3-550-060314%20audi%20s8%202014-71276.jpg,2014 Audi S8,2014
2013 Audi S8 - Base,110000.0,8.0,520.0,23.8,15.0,26.0,5.0,57.5,202.2,76.7,117.8,2.0,img.autobytel.com/2013/audi/s8/3-550-s8-68616.jpg,2013 Audi S8,2013
2007 Audi S8 - Base,92000.0,6.0,450.0,23.8,14.0,20.0,5.0,56.1,199.3,74.7,115.9,2.0,img.autobytel.com/2007/audi/s8/2-550-oemexteriorfront-43267.jpg,2007 Audi S8,2007
2003 Audi S8 - Base,72500.0,5.0,360.0,23.8,15.0,21.0,5.0,55.8,198.2,79.0,113.4,2.0,img.autobytel.com/2003/audi/s8/2-550-oemexteriorfront-26763.jpg,2003 Audi S8,2003
2023 Audi e-tron GT - Premium Plus,104900.0,2.0,469.0,0.0,81.0,83.0,5.0,55.6,196.4,77.3,114.1,1.0,img.autobytel.com/2023/audi/e-tron-gt/2-550-oem-exterior-front1300-100612.jpg,2023 Audi e-tron GT,2023
