,img,msrp,model,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Recommended fuel,Overall height,Overall Length,Overall Width,Wheelbase
2023 Porsche 718 Boxster - Base,img.autobytel.com/2023/porsche/718-boxster/2-550-oem-exterior-34-front-right-facing1308-101810.jpg,"65,500",2023 Porsche 718 Boxster,6,300,14.2,20,25,2,Premium Unleaded,50.4,172.4,70.9,97.4
2023 Porsche 718 Boxster - T,img.autobytel.com/2023/porsche/718-boxster/2-550-oem-exterior-front1300-101811.jpg,"74,600",2023 Porsche 718 Boxster,6,300,14.2,20,26,2,Premium Unleaded,50.4,172.4,70.9,97.4
2023 Porsche 718 Boxster - S,img.autobytel.com/2023/porsche/718-boxster/2-550-oem-exterior-front1300-101812.jpg,"77,500",2023 Porsche 718 Boxster,6,350,16.9,19,24,2,Premium Unleaded,50.4,172.4,70.9,97.4
2023 Porsche 718 Boxster - GTS 4.0,img.autobytel.com/2023/porsche/718-boxster/2-550-oem-exterior-front1300-101813.jpg,"92,400",2023 Porsche 718 Boxster,6,394,16.9,17,24,2,Premium Unleaded,50.4,172.9,70.9,97.4
2022 Porsche 718 Boxster - Base,img.autobytel.com/2022/porsche/718-boxster/2-550-oem-exterior-34-front-right-facing1308-97561.jpg,"62,600",2022 Porsche 718 Boxster,6,300,14.2,20,26,2,Premium Unleaded,50.4,172.4,70.9,97.4
2022 Porsche 718 Boxster - T,img.autobytel.com/2022/porsche/718-boxster/2-550-oem-exterior-front1300-97562.jpg,"71,700",2022 Porsche 718 Boxster,6,300,14.2,20,26,2,Premium Unleaded,50.4,172.4,70.9,97.4
2022 Porsche 718 Boxster - S,img.autobytel.com/2022/porsche/718-boxster/2-550-oem-exterior-front1300-97563.jpg,"74,600",2022 Porsche 718 Boxster,6,350,16.9,19,24,2,Premium Unleaded,50.4,172.4,70.9,97.4
2022 Porsche 718 Boxster - GTS 4.0,img.autobytel.com/2022/porsche/718-boxster/2-550-oem-exterior-front1300-97564.jpg,"89,500",2022 Porsche 718 Boxster,6,394,16.9,17,24,2,Premium Unleaded,50.4,172.9,70.9,97.4
2021 Porsche 718 Boxster - Base,img.autobytel.com/2021/porsche/718-boxster/2-550-oem-exterior-34-front-right-facing1308-95680.jpg,"62,000",2021 Porsche 718 Boxster,6,300,14.2,20,26,2,Premium Unleaded,50.4,172.4,70.9,97.4
2021 Porsche 718 Boxster - S,img.autobytel.com/2021/porsche/718-boxster/2-550-oem-exterior-front1300-95681.jpg,"74,000",2021 Porsche 718 Boxster,6,350,16.9,19,24,2,Premium Unleaded,50.4,172.4,70.9,97.4
2021 Porsche 718 Boxster - T,img.autobytel.com/2021/porsche/718-boxster/2-550-oem-exterior-front1300-95682.jpg,"71,000",2021 Porsche 718 Boxster,6,300,14.2,20,26,2,Premium Unleaded,50.4,172.4,70.9,97.4
2021 Porsche 718 Boxster - GTS 4.0,img.autobytel.com/2021/porsche/718-boxster/2-550-oem-exterior-front1300-95683.jpg,"88,900",2021 Porsche 718 Boxster,6,394,16.9,17,24,2,Premium Unleaded,50.4,172.9,70.9,97.4
2020 Porsche 718 Boxster - Base,img.autobytel.com/2020/porsche/718-boxster/2-550-oemexterior3/4frontrightfacing1308-93738.JPG,"59,600",2020 Porsche 718 Boxster,6,300,14.2,20,26,2,Premium Unleaded,50.4,172.4,70.9,97.4
2020 Porsche 718 Boxster - S,img.autobytel.com/2020/porsche/718-boxster/2-550-oemexteriorfront1300-93739.JPG,"72,000",2020 Porsche 718 Boxster,6,350,16.9,19,24,2,Premium Unleaded,50.4,172.4,70.9,97.4
2020 Porsche 718 Boxster - T,img.autobytel.com/2020/porsche/718-boxster/2-550-oemexteriorfront1300-93740.JPG,"68,500",2020 Porsche 718 Boxster,6,300,14.2,20,26,2,Premium Unleaded,50.4,172.4,70.9,97.4
2019 Porsche 718 Boxster - Base,img.autobytel.com/2019/porsche/718-boxster/2-550-oemexterior3/4frontrightfacing1308-89445.jpg,"59,000",2019 Porsche 718 Boxster,6,300,14.2,21,28,2,Premium Unleaded,50.4,172.4,70.9,97.4
2019 Porsche 718 Boxster - S,img.autobytel.com/2019/porsche/718-boxster/2-550-oemexteriorfront1300-89446.jpg,"71,400",2019 Porsche 718 Boxster,6,350,16.9,20,26,2,Premium Unleaded,50.4,172.4,70.9,97.4
2019 Porsche 718 Boxster - GTS,img.autobytel.com/2019/porsche/718-boxster/2-550-oemexteriorfront1300-89447.jpg,"82,800",2019 Porsche 718 Boxster,6,365,16.9,19,25,2,Premium Unleaded,50.1,173.0,70.9,97.4
2018 Porsche 718 Boxster - Base,img.autobytel.com/2018/porsche/718-boxster/2-550-oemexterior3/4frontrightfacing1308-84847.jpg,"57,400",2018 Porsche 718 Boxster,6,300,14.3,21,28,2,Premium Unleaded,50.9,172.4,70.9,97.4
2018 Porsche 718 Boxster - S,img.autobytel.com/2018/porsche/718-boxster/2-550-oemexteriorfront1300-84848.jpg,"69,800",2018 Porsche 718 Boxster,6,350,16.9,20,26,2,Premium Unleaded,50.4,172.4,70.9,97.4
2018 Porsche 718 Boxster - GTS,img.autobytel.com/2018/porsche/718-boxster/2-550-oemexteriorfront1300-86521.jpg,"81,900",2018 Porsche 718 Boxster,6,365,16.9,19,25,2,Premium Unleaded,50.1,172.9,70.9,97.4
2017 Porsche 718 Boxster - Base,img.autobytel.com/2017/porsche/718-boxster/2-550-oemexterior3/4frontrightfacing1308-80603.jpg,"56,000",2017 Porsche 718 Boxster,6,300,14.3,21,28,2,Premium Unleaded,50.4,172.4,70.9,97.4
2017 Porsche 718 Boxster - S,img.autobytel.com/2017/porsche/718-boxster/2-550-oemexteriorfront1300-80604.jpg,"68,400",2017 Porsche 718 Boxster,6,350,16.9,20,26,2,Premium Unleaded,50.4,172.4,70.9,97.4
2023 Porsche Panamera E-Hybrid Sport Turismo - 4,img.autobytel.com/2023/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-101824.jpg,"113,000",2023 Porsche Panamera E-Hybrid Sport Turismo,8,325,21.1,,,5,Premium Unleaded,56.2,198.8,76.3,116.1
2023 Porsche Panamera E-Hybrid Sport Turismo - 4S,img.autobytel.com/2023/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-101825.jpg,"123,200",2023 Porsche Panamera E-Hybrid Sport Turismo,8,443,21.1,,,5,Premium Unleaded,56.2,198.8,78.2,116.1
2023 Porsche Panamera E-Hybrid Sport Turismo - Turbo S,img.autobytel.com/2023/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-101826.jpg,"200,400",2023 Porsche Panamera E-Hybrid Sport Turismo,8,563,21.1,,,5,Premium Unleaded,56.4,198.8,76.3,116.1
2022 Porsche Panamera E-Hybrid Sport Turismo - 4,img.autobytel.com/2022/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-98549.jpg,"109,000",2022 Porsche Panamera E-Hybrid Sport Turismo,8,325,21.1,,,5,Premium Unleaded,56.2,198.8,76.3,116.1
2022 Porsche Panamera E-Hybrid Sport Turismo - 4S,img.autobytel.com/2022/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-98550.jpg,"118,700",2022 Porsche Panamera E-Hybrid Sport Turismo,8,443,21.1,,,5,Premium Unleaded,56.2,198.8,78.2,116.1
2022 Porsche Panamera E-Hybrid Sport Turismo - Turbo S,img.autobytel.com/2022/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-98551.jpg,"193,800",2022 Porsche Panamera E-Hybrid Sport Turismo,8,563,21.1,,,5,Premium Unleaded,56.4,198.8,76.3,116.1
2021 Porsche Panamera E-Hybrid Sport Turismo - 4,img.autobytel.com/2021/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-97028.jpg,"107,800",2021 Porsche Panamera E-Hybrid Sport Turismo,8,325,21.1,,,5,Premium Unleaded,56.2,198.8,76.3,116.1
