,msrp,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Overall height,Overall Length,Overall Width,Wheelbase,Recommended fuel,img,model,year
2023 Porsche 718 Boxster - Base,65500.0,6.0,300.0,14.2,20.0,25.0,2.0,50.4,172.4,70.9,97.4,3.0,img.autobytel.com/2023/porsche/718-boxster/2-550-oem-exterior-34-front-right-facing1308-101810.jpg,2023 Porsche 718 Boxster,2023
2023 Porsche 718 Boxster - T,74600.0,6.0,300.0,14.2,20.0,26.0,2.0,50.4,172.4,70.9,97.4,3.0,img.autobytel.com/2023/porsche/718-boxster/2-550-oem-exterior-front1300-101811.jpg,2023 Porsche 718 Boxster,2023
2023 Porsche 718 Boxster - S,77500.0,6.0,350.0,16.9,19.0,24.0,2.0,50.4,172.4,70.9,97.4,3.0,img.autobytel.com/2023/porsche/718-boxster/2-550-oem-exterior-front1300-101812.jpg,2023 Porsche 718 Boxster,2023
2023 Porsche 718 Boxster - GTS 4.0,92400.0,6.0,394.0,16.9,17.0,24.0,2.0,50.4,172.9,70.9,97.4,3.0,img.autobytel.com/2023/porsche/718-boxster/2-550-oem-exterior-front1300-101813.jpg,2023 Porsche 718 Boxster,2023
2022 Porsche 718 Boxster - Base,62600.0,6.0,300.0,14.2,20.0,26.0,2.0,50.4,172.4,70.9,97.4,3.0,img.autobytel.com/2022/porsche/718-boxster/2-550-oem-exterior-34-front-right-facing1308-97561.jpg,2022 Porsche 718 Boxster,2022
2022 Porsche 718 Boxster - T,71700.0,6.0,300.0,14.2,20.0,26.0,2.0,50.4,172.4,70.9,97.4,3.0,img.autobytel.com/2022/porsche/718-boxster/2-550-oem-exterior-front1300-97562.jpg,2022 Porsche 718 Boxster,2022
2022 Porsche 718 Boxster - S,74600.0,6.0,350.0,16.9,19.0,24.0,2.0,50.4,172.4,70.9,97.4,3.0,img.autobytel.com/2022/porsche/718-boxster/2-550-oem-exterior-front1300-97563.jpg,2022 Porsche 718 Boxster,2022
2022 Porsche 718 Boxster - GTS 4.0,89500.0,6.0,394.0,16.9,17.0,24.0,2.0,50.4,172.9,70.9,97.4,3.0,img.autobytel.com/2022/porsche/718-boxster/2-550-oem-exterior-front1300-97564.jpg,2022 Porsche 718 Boxster,2022
2021 Porsche 718 Boxster - Base,62000.0,6.0,300.0,14.2,20.0,26.0,2.0,50.4,172.4,70.9,97.4,3.0,img.autobytel.com/2021/porsche/718-boxster/2-550-oem-exterior-34-front-right-facing1308-95680.jpg,2021 Porsche 718 Boxster,2021
2021 Porsche 718 Boxster - S,74000.0,6.0,350.0,16.9,19.0,24.0,2.0,50.4,172.4,70.9,97.4,3.0,img.autobytel.com/2021/porsche/718-boxster/2-550-oem-exterior-front1300-95681.jpg,2021 Porsche 718 Boxster,2021
2021 Porsche 718 Boxster - T,71000.0,6.0,300.0,14.2,20.0,26.0,2.0,50.4,172.4,70.9,97.4,3.0,img.autobytel.com/2021/porsche/718-boxster/2-550-oem-exterior-front1300-95682.jpg,2021 Porsche 718 Boxster,2021
2021 Porsche 718 Boxster - GTS 4.0,88900.0,6.0,394.0,16.9,17.0,24.0,2.0,50.4,172.9,70.9,97.4,3.0,img.autobytel.com/2021/porsche/718-boxster/2-550-oem-exterior-front1300-95683.jpg,2021 Porsche 718 Boxster,2021
2020 Porsche 718 Boxster - Base,59600.0,6.0,300.0,14.2,20.0,26.0,2.0,50.4,172.4,70.9,97.4,3.0,img.autobytel.com/2020/porsche/718-boxster/2-550-oemexterior3/4frontrightfacing1308-93738.JPG,2020 Porsche 718 Boxster,2020
2020 Porsche 718 Boxster - S,72000.0,6.0,350.0,16.9,19.0,24.0,2.0,50.4,172.4,70.9,97.4,3.0,img.autobytel.com/2020/porsche/718-boxster/2-550-oemexteriorfront1300-93739.JPG,2020 Porsche 718 Boxster,2020
2020 Porsche 718 Boxster - T,68500.0,6.0,300.0,14.2,20.0,26.0,2.0,50.4,172.4,70.9,97.4,3.0,img.autobytel.com/2020/porsche/718-boxster/2-550-oemexteriorfront1300-93740.JPG,2020 Porsche 718 Boxster,2020
